"x","y","fips","abbr","full","county"
2075891.7271009,-354325.60109603,"10001","DE","Delaware","Kent County"
2048810.83447175,-282722.35932181,"10003","DE","Delaware","New Castle County"
2101736.51170928,-388824.70832202,"10005","DE","Delaware","Sussex County"
1958221.24523484,-401371.08955224,"11001","DC","District of Columbia","District of Columbia"
1700134.89444785,-1524350.66764866,"12001","FL","Florida","Alachua County"
1699296.50714797,-1457374.5861547,"12003","FL","Florida","Baker County"
1386996.71454809,-1518976.91274597,"12005","FL","Florida","Bay County"
1717873.40848216,-1491280.92834841,"12007","FL","Florida","Bradford County"
1897767.68175658,-1674710.48980354,"12009","FL","Florida","Brevard County"
1955127.0602326,-1869085.92057077,"12011","FL","Florida","Broward County"
1421485.49356331,-1496111.4562206,"12013","FL","Florida","Calhoun County"
1803260.55374923,-1816989.55100616,"12015","FL","Florida","Charlotte County"
1707697.6294522,-1615296.39646052,"12017","FL","Florida","Citrus County"
1745745.07114362,-1479634.88747885,"12019","FL","Florida","Clay County"
1857146.59663531,-1894708.51761996,"12021","FL","Florida","Collier County"
1670039.22821135,-1473450.03600611,"12023","FL","Florida","Columbia County"
1805778.14810685,-1784328.97858426,"12027","FL","Florida","DeSoto County"
1629787.30228716,-1547827.14674066,"12029","FL","Florida","Dixie County"
1759542.4552626,-1434622.43229999,"12031","FL","Florida","Duval County"
1201177.41925825,-1479399.80789346,"12033","FL","Florida","Escambia County"
1809206.60566551,-1524107.13661774,"12035","FL","Florida","Flagler County"
1463830.50956931,-1551282.90359091,"12037","FL","Florida","Franklin County"
1474010.05883278,-1469623.3596939,"12039","FL","Florida","Gadsden County"
1662097.26883817,-1528495.73282658,"12041","FL","Florida","Gilchrist County"
1879782.72141865,-1795171.45294663,"12043","FL","Florida","Glades County"
1428771.58167685,-1552248.51277351,"12045","FL","Florida","Gulf County"
1644255.27747263,-1445096.39670514,"12047","FL","Florida","Hamilton County"
1799409.6524117,-1751154.59347373,"12049","FL","Florida","Hardee County"
1887597.16067617,-1835003.36848108,"12051","FL","Florida","Hendry County"
1711833.32558112,-1648569.73358194,"12053","FL","Florida","Hernando County"
1847863.05811406,-1758496.57696621,"12055","FL","Florida","Highlands County"
1743997.29789961,-1710059.51317116,"12057","FL","Florida","Hillsborough County"
1348097.29622127,-1455603.45995149,"12059","FL","Florida","Holmes County"
1914740.63689739,-1703488.22107419,"12061","FL","Florida","Indian River County"
1417263.55987432,-1452354.41121761,"12063","FL","Florida","Jackson County"
1542119.96611976,-1476308.26985302,"12065","FL","Florida","Jefferson County"
1619396.08141217,-1509028.94763215,"12067","FL","Florida","Lafayette County"
1774928.19593697,-1606401.03533071,"12069","FL","Florida","Lake County"
1818937.09063312,-1850267.14584623,"12071","FL","Florida","Lee County"
1513919.82117518,-1467246.5136189,"12073","FL","Florida","Leon County"
1674843.54427266,-1567320.36802371,"12075","FL","Florida","Levy County"
1455684.8464546,-1514878.03388727,"12077","FL","Florida","Liberty County"
1587819.83654687,-1458213.56742766,"12079","FL","Florida","Madison County"
1760262.22896348,-1757235.59425354,"12081","FL","Florida","Manatee County"
1750700.11820004,-1566551.5105627,"12083","FL","Florida","Marion County"
1944039.44520951,-1765716.23522116,"12085","FL","Florida","Martin County"
1954403.50142705,-1920820.76412282,"12086","FL","Florida","Miami-Dade County"
1908411.28087977,-1937502.99229,"12087","FL","Florida","Monroe County"
1733073.76662782,-1408282.73098421,"12089","FL","Florida","Nassau County"
1285882.12492048,-1488423.57203223,"12091","FL","Florida","Okaloosa County"
1892897.72850489,-1739565.76430894,"12093","FL","Florida","Okeechobee County"
1811216.9201776,-1635330.46266911,"12095","FL","Florida","Orange County"
1855006.39478969,-1667706.33236782,"12097","FL","Florida","Osceola County"
1947537.62202634,-1814243.30343047,"12099","FL","Florida","Palm Beach County"
1733633.02158114,-1673559.71531955,"12101","FL","Florida","Pasco County"
1705500.47424805,-1727798.98065918,"12103","FL","Florida","Pinellas County"
1798022.35281223,-1702122.22653973,"12105","FL","Florida","Polk County"
1765578.31646599,-1513206.95822725,"12107","FL","Florida","Putnam County"
1788390.31382012,-1482310.63542371,"12109","FL","Florida","St. Johns County"
1931686.9015302,-1734540.83401684,"12111","FL","Florida","St. Lucie County"
1242100.49971079,-1483482.00181838,"12113","FL","Florida","Santa Rosa County"
1747071.78712382,-1788216.15344232,"12115","FL","Florida","Sarasota County"
1825413.58760633,-1606573.02363961,"12117","FL","Florida","Seminole County"
1749790.5463328,-1629278.92875312,"12119","FL","Florida","Sumter County"
1633722.22008371,-1476357.22360783,"12121","FL","Florida","Suwannee County"
1579349.88194962,-1501259.99424791,"12123","FL","Florida","Taylor County"
1694985.82318791,-1485667.79042067,"12125","FL","Florida","Union County"
1834930.08249683,-1571392.02984035,"12127","FL","Florida","Volusia County"
1497976.4218243,-1511311.75310396,"12129","FL","Florida","Wakulla County"
1329048.1345948,-1497145.328969,"12131","FL","Florida","Walton County"
1373022.04709062,-1483690.6790786,"12133","FL","Florida","Washington County"
1670439.8629479,-1296375.31621037,"13001","GA","Georgia","Appling County"
