"x","y","order","hole","piece","group","fips","abbr","full"
-1320565.60984376,-1554347.58038835,290,FALSE,1,"02.1","02","AK","Alaska"
-1319059.27505926,-1551925.3904586,291,FALSE,1,"02.1","02","AK","Alaska"
-1315400.43979111,-1548525.98579436,292,FALSE,1,"02.1","02","AK","Alaska"
-1314927.87492408,-1551367.03056478,293,FALSE,1,"02.1","02","AK","Alaska"
-1311703.09215495,-1553139.61794468,294,FALSE,1,"02.1","02","AK","Alaska"
-1308232.63328242,-1553925.44048175,295,FALSE,1,"02.1","02","AK","Alaska"
-1307849.72422487,-1556842.61918473,296,FALSE,1,"02.1","02","AK","Alaska"
-1305617.40319462,-1556305.86854508,297,FALSE,1,"02.1","02","AK","Alaska"
-1301059.63199713,-1557224.49311147,298,FALSE,1,"02.1","02","AK","Alaska"
-1300104.17197616,-1560737.06373287,299,FALSE,1,"02.1","02","AK","Alaska"
-1300312.96988131,-1562507.6816521,300,FALSE,1,"02.1","02","AK","Alaska"
-1302922.99519589,-1565015.17760583,301,FALSE,1,"02.1","02","AK","Alaska"
-1303796.85006754,-1566795.4017137,302,FALSE,1,"02.1","02","AK","Alaska"
-1306669.51082782,-1567948.58743737,303,FALSE,1,"02.1","02","AK","Alaska"
-1307118.69541494,-1570310.1861704,304,FALSE,1,"02.1","02","AK","Alaska"
-1306352.41710285,-1573620.22248718,305,FALSE,1,"02.1","02","AK","Alaska"
-1303444.82567549,-1574610.51786342,306,FALSE,1,"02.1","02","AK","Alaska"
-1300577.05932923,-1573688.61049776,307,FALSE,1,"02.1","02","AK","Alaska"
-1299694.66370521,-1571690.76361407,308,FALSE,1,"02.1","02","AK","Alaska"
-1300080.95738903,-1568936.85035437,309,FALSE,1,"02.1","02","AK","Alaska"
-1297811.8176717,-1566126.79732179,310,FALSE,1,"02.1","02","AK","Alaska"
-1296254.6642216,-1561756.77911756,311,FALSE,1,"02.1","02","AK","Alaska"
-1293217.4683095,-1558261.86183254,312,FALSE,1,"02.1","02","AK","Alaska"
-1291461.35429453,-1559146.31630626,313,FALSE,1,"02.1","02","AK","Alaska"
-1286041.0847856,-1564879.28556707,314,FALSE,1,"02.1","02","AK","Alaska"
-1286439.72680043,-1568187.04798281,315,FALSE,1,"02.1","02","AK","Alaska"
-1285873.82469627,-1574049.76835771,316,FALSE,1,"02.1","02","AK","Alaska"
-1283718.4033831,-1573655.15878718,317,FALSE,1,"02.1","02","AK","Alaska"
-1281592.20389822,-1574020.28712459,318,FALSE,1,"02.1","02","AK","Alaska"
-1279096.08430982,-1576056.38630536,319,FALSE,1,"02.1","02","AK","Alaska"
-1275571.91796762,-1570378.30430173,320,FALSE,1,"02.1","02","AK","Alaska"
-1272178.83153819,-1570254.01215972,321,FALSE,1,"02.1","02","AK","Alaska"
-1268552.2279616,-1569645.94151277,322,FALSE,1,"02.1","02","AK","Alaska"
-1265749.78940232,-1567791.91643298,323,FALSE,1,"02.1","02","AK","Alaska"
-1262877.57117884,-1568031.96643853,324,FALSE,1,"02.1","02","AK","Alaska"
-1260643.55904065,-1569321.47030481,325,FALSE,1,"02.1","02","AK","Alaska"
